pin1_yin1,char_trad,char_simp,mean_trad,mean_simp,mean_EngUS
yi2 ri4 qian1 qiu1,一日千秋,,,,rapid changes; a thousand years happened in one day
yi2 ri4 qian1 li3,一日千里,,,,rapid progress; traveled a thousand miles in one day
yi4 ri4 san1 qiu1,一日三秋,,,,greatly missing someone; one day feels like three years
